calendar_year,calendar_month,route,average_daily_ridership,source,objectid,city
2019,9,47,17684,APC,126,Philadelphia
2019,9,48,7577,APC,127,Philadelphia
2019,9,49,3076,APC,128,Philadelphia
2019,9,50,2100,APC,129,Philadelphia
2019,9,52,15067,APC,130,Philadelphia
2019,9,53,2896,APC,131,Philadelphia
2019,9,54,7826,APC,132,Philadelphia
2019,9,55,4905,APC,133,Philadelphia
2019,9,56,12058,APC,134,Philadelphia
2019,9,57,11012,APC,135,Philadelphia
2019,9,58,8439,APC,136,Philadelphia
2019,9,59,4996,APC,137,Philadelphia
2019,9,60,10707,APC,138,Philadelphia
2019,9,61,4171,APC,139,Philadelphia
2019,9,62,246,APC,140,Philadelphia
2019,9,64,6262,APC,141,Philadelphia
2019,9,65,8344,APC,142,Philadelphia
2019,9,66,11032,APC,143,Philadelphia
2019,9,67,4933,APC,144,Philadelphia
2019,9,68,2129,APC,145,Philadelphia
2019,9,70,8365,APC,146,Philadelphia
2019,9,73,2493,APC,147,Philadelphia
2019,9,75,3320,APC,148,Philadelphia
2019,9,77,809,APC,149,Philadelphia
2019,9,78,83,APC,150,Philadelphia
2019,9,79,5555,APC,151,Philadelphia
2019,9,80,238,APC,152,Philadelphia
2019,9,84,3734,APC,153,Philadelphia
2019,9,88,2291,APC,154,Philadelphia
2019,9,89,2005,APC,155,Philadelphia
2019,9,90,447,APC,156,Philadelphia
2019,9,92,347,APC,157,Philadelphia
2019,9,93,1323,APC,158,Philadelphia
2019,9,94,543,APC,159,Philadelphia
2019,9,95,607,APC,160,Philadelphia
2019,9,96,1507,APC,161,Philadelphia
2019,9,97,690,APC,162,Philadelphia
2019,9,98,1032,APC,163,Philadelphia
2019,9,99,1279,APC,164,Philadelphia
2019,9,D1,4180,Traffic,165,Philadelphia
2019,9,D2,4235,Traffic,166,Philadelphia
2019,9,103,1347,APC,167,Philadelphia
2019,9,104,3583,APC,168,Philadelphia
2019,9,105,1294,APC,169,Philadelphia
2019,9,106,1395,APC,170,Philadelphia
2019,9,107,1082,APC,171,Philadelphia
2019,9,108,5730,APC,172,Philadelphia
2019,9,109,4561,APC,173,Philadelphia
2019,9,110,2116,APC,174,Philadelphia
2019,9,111,1575,APC,175,Philadelphia
2019,9,112,1368,APC,176,Philadelphia
2019,9,113,7312,APC,177,Philadelphia
2019,9,114,2056,APC,178,Philadelphia
2019,9,115,1316,APC,179,Philadelphia
2019,9,117,2142,APC,180,Philadelphia
2019,9,118,581,APC,181,Philadelphia
2019,9,119,758,APC,182,Philadelphia
2019,9,120,451,APC,183,Philadelphia
2019,9,123,900,APC,184,Philadelphia
2019,9,124,1804,APC,185,Philadelphia
2019,9,125,2265,APC,186,Philadelphia
2019,9,126,656,APC,187,Philadelphia
2019,9,127,324,APC,188,Philadelphia
2019,9,128,383,APC,189,Philadelphia
2019,9,129,923,APC,190,Philadelphia
2019,9,130,672,APC,191,Philadelphia
2019,9,131,686,APC,192,Philadelphia
2019,9,132,392,APC,193,Philadelphia
2019,9,133,90,APC,194,Philadelphia
2019,9,139,424,APC,195,Philadelphia
2019,9,150,38,APC,196,Philadelphia
2019,9,201,159,APC,197,Philadelphia
2019,9,204,222,APC,198,Philadelphia
2019,9,206,172,APC,199,Philadelphia
2019,9,310,442,APC,200,Philadelphia
2019,9,311,228,APC,201,Philadelphia
2019,9,47M,932,APC,202,Philadelphia
2019,9,BLVDDIR,3401,APC,203,Philadelphia
